names_items,prixes_items,disponbilites_items,refrences_items
Pc de Bureau Gamer MYTEK i5 10è Gén 16Go MSI RTX 4060 Ti VENTUS 2X BLACK 16G OC,"2 759,000 DT",En stock,[NINJA-10400-16G4060Ti]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"2 785,000 DT",En stock,[NINJA-12400-4060Ti]
Pc de Bureau Gamer MYTEK i7 12è Gén 16G MSI RTX 3050 VENTUS 2X XS 8G OC,"2 789,000 DT",En stock,[NINJA-12700-3050]
Pc de Bureau Gamer MYTEK AMD RYZEN 7 16G MSI RTX 3060 VENTUS 2X 12Go OC,"2 799,000 DT",Sur commande 48h,[GUNSHIP-5700X-3060]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go ASUS Dual RTX 4060 8GB,"2 799,000 DT",Sur commande 48h,[ZEUS-12400-4060]
Pc de Bureau Gamer MYTEK i5 10è Gén 32Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"2 799,000 DT",En stock,[NINJA-10400-4060Ti-32G]
Pc de Bureau Gamer MYTEK i5 13è Gén 32Go MSI RTX 3060 VENTUS 2X OC 12Go,"2 799,000 DT",En stock,[NINJA-13400-3060-32G]
Pc de Bureau Gamer MYTEK i5 13è Gén 32Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"2 799,000 DT",En stock,[NINJA-13400-4060-32G]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go MSI RTX 3060 VENTUS 2X 12G,"2 809,000 DT",Sur commande 48h,[GUNSHIP-13400-3060]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 16Go MSI RTX 4060 VENTUS 2X WHITE 8G OC,"2 809,000 DT",Sur commande 48h,[SUKHOI-5700X-4060]
Pc de Bureau Gamer MYTEK i5 10ème Gén 16Go MSI RTX3060 VENTUS 2X OC 12Go,"2 829,000 DT",En stock,[BU-NINJA-10400-3060-S1]
Pc de Bureau Gamer MYTEK i5 14è Gén 32Go MSI RTX 3060 VENTUS 2X OC 12Go,"2 849,000 DT",En stock,[NINJA-14400-3060-32G]
Pc de Bureau Gamer MYTEK AMD RYZEN 7 16G MSI RTX 4060 VENTUS 2X BLACK 8G OC,"2 849,000 DT",Sur commande 48h,[GUNSHIP-5700X-4060]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"2 869,000 DT",Sur commande 48h,[GUNSHIP-13400-4060]
Pc de Bureau Gamer MYTEK AMD RYZEN 7 16Go MSI RTX3060 VENTUS 2X 12G OC,"2 999,000 DT",Sur commande 48h,[GUNSHIP-5800X-3060]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RTX 3060 VENTUS 2X 12GB,"2 869,000 DT",Sur commande 48h,[GUNSHIP-12600-3060]
Pc de Bureau Gamer MYTEK i5 14è Gén 16Go MSI RTX 3060 VENTUS 2X 12G,"2 899,000 DT",Sur commande 48h,[GUNSHIP-14400-3060]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RTX 4060 Ti VENTUS 2X BLACK 8G OC,"2 899,000 DT",Sur commande 48h,[SAMURAI-12400-4060Ti]
Pc de Bureau Gamer MYTEK i5 14è Gén 32Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"2 899,000 DT",En stock,[NINJA-14400-4060-32G]
Pc de Bureau Gamer MYTEK i5 12ème Gén 16Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"2 909,000 DT",Sur commande 48h,[GUNSHIP-12600-4060]
Pc de Bureau Gamer MYTEK AMD Ryzen 7 16Go MSI RTX 4060 VENTUS 2X WHITE 8G OC,"2 919,000 DT",Sur commande 48h,[SUKHOI-5800X-4060]
Pc de Bureau Gamer MYTEK i5 13è Gén 16Go MSI RTX 4060 VENTUS 2X WHITE 8G OC,"2 919,000 DT",Sur commande 48h,[RAPTOR-13400-4060]
Pc de Bureau Gamer MYTEK i5 10ème Gén 16G MSI RTX 4060 VENTUS 2X BLACK 8G OC,"2 929,000 DT",En stock,[BU-NINJA-10400-4060-S1]
Pc de Bureau Gamer MYTEK i5 10è Gén 32Go MSI RTX 4060 Ti VENTUS 2X BLACK 16G OC,"2 939,000 DT",En stock,[NINJA-10400-16G4060Ti-32G]
Pc de Bureau Gamer MYTEK i5 12è Gén 32Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"2 949,000 DT",Sur commande 48h,[NINJA-12400-4060Ti-32G]
Pc de Bureau Gamer MYTEK i7 12è Gén 32Go MSI RTX 3050 VENTUS 2X XS 8G OC,"2 949,000 DT",En stock,[NINJA-12700-3050-32G]
Pc de Bureau Gamer MYTEK AMD RYZEN 7 16Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"2 949,000 DT",Sur commande 48h,[GUNSHIP-5800X-4060]
Pc de Bureau Gamer MYTEK i5 14è Gén 16Go MSI RTX 4060 VENTUS 2X BLACK 8G OC,"2 949,000 DT",En stock,[GUNSHIP-14400-4060]
Pc de Bureau Gamer MYTEK i5 12è Gén 32Go ASUS Dual RTX 4060 8GB,"2 959,000 DT",Sur commande 48h,[ZEUS-12400-4060-32G]
Pc de Bureau Gamer MYTEK i5 12è Gén 16Go MSI RTX 4060 Ti VENTUS 2X BLACK 16G OC,"2 959,000 DT",Sur commande 48h,[NINJA-12400-16G4060Ti]
Pc de Bureau Gamer MYTEK i7 12è Gén 16Go MSI RTX 3050 VENTUS 2X XS 8G OC,"2 999,000 DT",Sur commande 48h,[RAPTOR-12700-3050]
Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go MSI RTX 4060Ti VENTUS 2X BLACK 8G OC,"2 999,000 DT",Sur commande 48h,[SPIDER-5600X-4060TI]
